district_id,state,district_num,geoid,party_control,rep_name,rep_party,first_elected,tenure_years,pvi,cook_rating,baseline_win_prob_r,incumbent_running,is_open_seat,mode,fec_raised_r_2024,fec_spent_r_2024,fec_raised_d_2024,fec_spent_d_2024,fec_outside_2024,fec_raised_r_2022,fec_spent_r_2022,fec_raised_d_2022,fec_spent_d_2022,fec_raised_r_2026,fec_spent_r_2026,fec_raised_d_2026,fec_spent_d_2026,hist_cost_to_compete,incremental_cost,pop_total,vap,median_income,pct_white,pct_black,pct_hispanic,pct_asian,pct_ba_plus,pct_urban,civic_election_id,civic_candidates_json,notes,data_source_flags
AK-00,AK,0,0200,R,James Smith,R,2005,21.0,8.4,Likely R,,True,False,defend,4128582.0,3433085.0,2960314.0,2881157.0,2849804.0,4099815.0,3808844.0,1965817.0,1562366.0,1390046.0,260683.0,626745.0,754627.0,2888016.0,,780657,597232,80415.0,0.6521,0.1808,0.1079,0.0592,0.2169,0.5266,,"{""office"": ""U.S. Representative, District 00"", ""candidates"": [{""name"": ""James Smith"", ""party"": ""R""}, {""name"": ""Michael Walker"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-01,AL,1,0101,R,Mary Johnson,R,2005,21.0,13.5,Solid R,,True,False,safe,2803594.0,2531409.0,2518122.0,2297000.0,1671916.0,2000238.0,1711305.0,2354210.0,2073612.0,577313.0,236508.0,1050966.0,481789.0,1788097.0,,751042,573582,76179.0,0.4181,0.3453,0.2024,0.0343,0.334,0.6428,,"{""office"": ""U.S. Representative, District 01"", ""candidates"": [{""name"": ""Mary Johnson"", ""party"": ""R""}, {""name"": ""Ashley Young"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-02,AL,2,0102,R,Robert Williams,R,2020,6.0,0.5,Toss-up,,True,False,defend,3711819.0,2860740.0,2606754.0,2388159.0,2715714.0,2985283.0,2349694.0,2676359.0,2315693.0,782915.0,960975.0,856221.0,428306.0,3273021.0,,729513,542315,64309.0,0.7739,0.1499,0.0437,0.0325,0.339,0.6567,,"{""office"": ""U.S. Representative, District 02"", ""candidates"": [{""name"": ""Robert Williams"", ""party"": ""R""}, {""name"": ""Susan Smith"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-03,AL,3,0103,R,Patricia Brown,R,2024,2.0,10.6,Solid R,,True,False,defend,3951036.0,3741715.0,2998115.0,2771636.0,1982540.0,3752905.0,3187648.0,2197423.0,1965114.0,1515772.0,967822.0,550987.0,523897.0,2617050.0,,701394,572981,54900.0,0.4317,0.3406,0.1847,0.043,0.2793,0.692,,"{""office"": ""U.S. Representative, District 03"", ""candidates"": [{""name"": ""Patricia Brown"", ""party"": ""R""}, {""name"": ""Lisa Davis"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-04,AL,4,0104,R,John Jones,R,2017,9.0,15.8,Solid R,,True,False,safe,2637509.0,2140086.0,1709598.0,1412574.0,747518.0,2802511.0,2384796.0,1522449.0,1149404.0,1267367.0,840965.0,352347.0,369634.0,1320651.0,,708788,534913,77643.0,0.738,0.0313,0.1496,0.0811,0.4206,0.8155,,"{""office"": ""U.S. Representative, District 04"", ""candidates"": [{""name"": ""John Jones"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-05,AL,5,0105,D,Jennifer Garcia,D,2023,3.0,0.6,Toss-up,,True,False,attack,4167586.0,4076926.0,4124921.0,3939653.0,4813209.0,2578512.0,2462175.0,3619314.0,3458228.0,1490093.0,603378.0,1892534.0,1025036.0,4283909.0,,789924,598045,78929.0,0.3635,0.3983,0.2034,0.0349,0.3012,0.5443,,"{""office"": ""U.S. Representative, District 05"", ""candidates"": [{""name"": ""Jennifer Garcia"", ""party"": ""D""}, {""name"": ""Barbara Moore"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-06,AL,6,0106,R,Michael Miller,R,2011,15.0,22.9,Solid R,,True,False,safe,2864625.0,2228740.0,2096807.0,1816790.0,480469.0,2909188.0,2570724.0,1418788.0,1129282.0,1351100.0,758043.0,934324.0,187281.0,1128726.0,,724119,534346,83580.0,0.4137,0.412,0.1497,0.0247,0.2726,0.5763,,"{""office"": ""U.S. Representative, District 06"", ""candidates"": [{""name"": ""Michael Miller"", ""party"": ""R""}, {""name"": ""James Ramirez"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AL-07,AL,7,0107,R,Linda Davis,R,2014,12.0,10.1,Solid R,,True,False,defend,8136334.0,7654407.0,8042507.0,7505813.0,2421807.0,4982933.0,4345501.0,7058096.0,6277355.0,4044535.0,1878941.0,2533620.0,1304939.0,6206203.0,,776172,608051,105783.0,0.8158,0.0871,0.0544,0.0427,0.2176,0.7569,,"{""office"": ""U.S. Representative, District 07"", ""candidates"": [{""name"": ""Linda Davis"", ""party"": ""R""}, {""name"": ""Mark Jones"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AR-01,AR,1,0501,R,David Rodriguez,R,2009,17.0,24.0,Solid R,,True,False,safe,1842057.0,1455534.0,1747558.0,1332125.0,271916.0,1857318.0,1683778.0,1140525.0,958651.0,510612.0,370913.0,873783.0,533599.0,816638.0,,749006,544269,67585.0,0.7357,0.0451,0.1487,0.0704,0.4133,0.7541,,"{""office"": ""U.S. Representative, District 01"", ""candidates"": [{""name"": ""David Rodriguez"", ""party"": ""R""}, {""name"": ""Donald Williams"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AR-02,AR,2,0502,R,Elizabeth Martinez,R,2008,18.0,17.5,Solid R,,True,False,safe,3735607.0,2917311.0,2448156.0,2137964.0,915483.0,2939202.0,2784135.0,2110008.0,1807104.0,1135758.0,903528.0,628161.0,225060.0,1731454.0,,722420,527487,88694.0,0.7008,0.0291,0.1934,0.0767,0.3745,0.3474,,"{""office"": ""U.S. Representative, District 02"", ""candidates"": [{""name"": ""Elizabeth Martinez"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
