district_id,pvi,party_control
AK-00,6.0,R
AL-01,19.5,R
AL-02,22.7,R
AL-03,19.6,R
AL-04,27.3,R
AL-05,26.9,R
AL-06,26.2,R
AL-07,-8.6,D
AR-01,22.1,R
AR-02,23.0,R
AR-03,25.0,R
AR-04,28.9,R
AZ-01,2.0,R
AZ-02,9.1,R
AZ-03,-8.4,D
AZ-04,-8.4,D
AZ-05,11.1,R
AZ-06,2.0,R
AZ-07,-9.5,D
AZ-08,12.6,R
AZ-09,15.4,R
CA-01,3.8,R
CA-02,-24.7,D
CA-03,3.4,R
CA-04,-20.7,D
CA-05,4.2,R
CA-06,-22.3,D
CA-07,-20.7,D
CA-08,-18.4,D
CA-09,-23.4,D
CA-10,-20.0,D
CA-11,-34.0,D
CA-12,-36.0,D
CA-13,0.0,D
CA-14,-19.3,D
CA-15,-24.5,D
CA-16,-21.7,D
CA-17,-24.3,D
CA-18,-19.3,D
CA-19,-20.3,D
CA-20,9.3,R
CA-21,-23.8,D
CA-22,2.0,D
CA-23,8.8,R
CA-24,-23.0,D
CA-25,-22.9,D
CA-26,-21.0,D
CA-27,-1.0,D
CA-28,-20.2,D
CA-29,-21.6,D
CA-30,-23.3,D
CA-31,-23.7,D
CA-32,-19.1,D
CA-33,-20.8,D
CA-34,-20.6,D
CA-35,-17.6,D
CA-36,-23.6,D
CA-37,-16.9,D
CA-38,-15.7,D
CA-39,-18.8,D
CA-40,11.7,R
CA-41,2.0,R
CA-42,-23.3,D
CA-43,-20.0,D
CA-44,-22.9,D
CA-45,1.0,D
CA-46,-22.0,D
CA-47,-22.6,D
CA-48,11.9,R
CA-49,-19.4,D
CA-50,10.5,R
CA-51,-24.0,D
CA-52,-24.0,D
CO-01,-19.0,D
CO-02,-19.9,D
CO-03,4.7,R
CO-04,10.1,R
CO-05,7.3,R
CO-06,-16.5,D
CO-07,-19.5,D
CO-08,0.0,R
CT-01,-20.6,D
CT-02,-24.4,D
CT-03,-22.3,D
CT-04,-16.4,D
CT-05,-22.1,D
DE-00,-17.0,D
FL-01,12.2,R
FL-02,11.3,R
FL-03,10.6,R
FL-04,14.7,R
FL-05,12.1,R
FL-06,15.8,R
FL-07,11.6,R
FL-08,13.4,R
FL-09,-7.1,D
FL-10,-7.3,D
FL-11,11.7,R
FL-12,13.1,R
FL-13,14.3,R
FL-14,-9.7,D
FL-15,16.6,R
FL-16,16.8,R
FL-17,12.0,R
FL-18,12.5,R
FL-19,13.9,R
FL-20,-7.8,D
FL-21,21.1,R
FL-22,-8.8,D
FL-23,-7.5,D
FL-24,-10.1,D
FL-25,-10.1,D
FL-26,14.5,R
FL-27,18.7,R
FL-28,20.9,R
GA-01,4.7,R
GA-02,-7.1,D
GA-03,6.9,R
GA-04,-10.0,D
GA-05,-30.0,D
GA-06,-8.9,D
GA-07,-8.9,D
GA-08,11.7,R
GA-09,8.4,R
GA-10,6.0,R
GA-11,11.3,R
GA-12,10.4,R
GA-13,-10.0,D
GA-14,16.1,R
HI-01,-25.9,D
HI-02,-22.1,D
IA-01,2.0,R
IA-02,16.0,R
IA-03,1.0,R
IA-04,19.1,R
ID-01,28.0,R
ID-02,28.9,R
IL-01,-18.4,D
IL-02,-15.0,D
IL-03,-15.6,D
IL-04,-14.3,D
IL-05,-16.6,D
IL-06,-13.8,D
IL-07,-34.0,D
IL-08,-17.6,D
IL-09,-19.2,D
IL-10,-21.1,D
IL-11,-19.3,D
IL-12,11.0,R
IL-13,-20.0,D
IL-14,-18.0,D
IL-15,15.0,R
IL-16,13.0,R
IL-17,-13.5,D
IN-01,-10.0,D
IN-02,-4.6,D
IN-03,19.7,R
IN-04,14.7,R
IN-05,18.6,R
IN-06,19.8,R
IN-07,18.3,R
IN-08,24.2,R
IN-09,25.1,R
KS-01,14.9,R
KS-02,15.7,R
KS-03,18.2,R
KS-04,17.6,R
KY-01,20.7,R
KY-02,22.3,R
KY-03,-9.7,D
KY-04,26.9,R
KY-05,23.6,R
KY-06,26.9,R
LA-01,12.3,R
LA-02,-7.0,D
LA-03,20.9,R
LA-04,22.0,R
LA-05,27.9,R
LA-06,25.3,R
MA-01,-26.6,D
MA-02,-19.4,D
MA-03,-26.6,D
MA-04,-23.2,D
MA-05,-23.3,D
MA-06,-26.5,D
MA-07,-32.0,D
MA-08,-22.0,D
MA-09,-24.0,D
MD-01,5.6,R
MD-02,-27.8,D
MD-03,-23.8,D
MD-04,-32.0,D
MD-05,-28.1,D
MD-06,-30.0,D
MD-07,-23.5,D
MD-08,-27.3,D
ME-01,-14.8,D
ME-02,2.0,R
MI-01,8.7,R
MI-02,7.7,R
MI-03,7.4,R
MI-04,8.8,R
MI-05,5.9,R
MI-06,-8.9,D
MI-07,1.0,R
MI-08,0.0,R
MI-09,12.0,R
MI-10,2.0,R
MI-11,-8.9,D
MI-12,-10.9,D
MI-13,-28.0,D
MN-01,3.0,R
MN-02,-12.1,D
MN-03,-13.0,D
MN-04,-13.9,D
MN-05,-28.0,D
MN-06,11.1,R
MN-07,11.0,R
MN-08,11.9,R
MO-01,-11.0,D
MO-02,12.5,R
MO-03,17.1,R
MO-04,17.6,R
MO-05,-7.7,D
MO-06,19.7,R
MO-07,21.2,R
MO-08,21.5,R
MS-01,18.0,R
MS-02,-7.5,D
MS-03,23.5,R
MS-04,22.6,R
MT-01,6.0,R
MT-02,14.0,R
NC-01,1.0,R
NC-02,-7.8,D
NC-03,8.4,R
NC-04,-9.1,D
NC-05,7.3,R
NC-06,9.5,R
NC-07,11.1,R
NC-08,7.8,R
NC-09,10.6,R
NC-10,11.2,R
NC-11,10.3,R
NC-12,-10.6,D
NC-13,9.7,R
NC-14,-11.6,D
ND-00,24.7,R
NE-01,15.1,R
NE-02,1.0,R
NE-03,20.5,R
NH-01,-1.0,D
NH-02,-13.7,D
NJ-01,-13.6,D
NJ-02,4.6,R
NJ-03,-15.8,D
NJ-04,4.9,R
NJ-05,-16.6,D
NJ-06,-14.7,D
NJ-07,1.0,R
NJ-08,-14.7,D
NJ-09,-11.1,D
NJ-10,-11.2,D
NJ-11,-11.3,D
NJ-12,-10.1,D
NM-01,-16.7,D
NM-02,1.0,R
NM-03,-13.0,D
NV-01,-2.0,D
NV-02,10.2,R
NV-03,0.0,R
NV-04,-2.0,D
NY-01,5.1,R
NY-02,8.7,R
NY-03,2.0,R
NY-04,2.0,R
NY-05,-12.5,D
NY-06,-15.6,D
NY-07,-16.3,D
NY-08,-19.8,D
NY-09,-19.8,D
NY-10,-16.2,D
NY-11,7.1,R
NY-12,-20.3,D
NY-13,-36.0,D
NY-14,-17.8,D
NY-15,-34.0,D
NY-16,-16.9,D
NY-17,1.0,R
NY-18,-15.7,D
NY-19,1.0,R
NY-20,-17.8,D
NY-21,9.8,R
NY-22,1.0,R
NY-23,10.9,R
NY-24,11.6,R
NY-25,-19.9,D
NY-26,-15.9,D
OH-01,-4.0,D
OH-02,12.5,R
OH-03,-10.9,D
OH-04,12.1,R
OH-05,8.9,R
OH-06,9.3,R
OH-07,14.8,R
OH-08,14.2,R
OH-09,2.0,D
OH-10,13.7,R
OH-11,-12.2,D
OH-12,13.6,R
OH-13,1.0,D
OH-14,17.6,R
OH-15,17.8,R
OK-01,24.9,R
OK-02,28.1,R
OK-03,26.0,R
OK-04,29.2,R
OK-05,29.6,R
OR-01,-19.7,D
OR-02,5.5,R
OR-03,-16.8,D
OR-04,-20.8,D
OR-05,1.0,R
OR-06,-16.4,D
PA-01,8.3,R
PA-02,-9.8,D
PA-03,-36.0,D
PA-04,-9.4,D
PA-05,-12.7,D
PA-06,-5.2,D
PA-07,0.0,R
PA-08,1.0,R
PA-09,11.1,R
PA-10,2.0,R
PA-11,10.4,R
PA-12,-9.8,D
PA-13,11.9,R
PA-14,10.2,R
PA-15,12.5,R
PA-16,10.5,R
PA-17,-1.0,D
RI-01,-17.7,D
RI-02,-20.1,D
SC-01,16.3,R
SC-02,15.4,R
SC-03,17.3,R
SC-04,23.8,R
SC-05,20.7,R
SC-06,-7.5,D
SC-07,21.4,R
SD-00,21.9,R
TN-01,22.6,R
TN-02,24.5,R
TN-03,22.3,R
TN-04,26.4,R
TN-05,23.7,R
TN-06,21.3,R
TN-07,24.4,R
TN-08,24.5,R
TN-09,-8.5,D
TX-01,26.0,R
TX-02,13.0,R
TX-03,12.0,R
TX-04,18.0,R
TX-05,14.0,R
TX-06,12.0,R
TX-07,-24.0,D
TX-08,22.0,R
TX-09,-28.0,D
TX-10,11.0,R
TX-11,28.0,R
TX-12,14.0,R
TX-13,30.0,R
TX-14,16.0,R
TX-15,3.0,R
