district_id,state,party_control,pvi,cook_rating,mode,hist_cost_to_compete
AK-00,AK,R,6.0,Likely R,defend,8417317.0
AL-01,AL,R,19.5,Solid R,safe,5620000.0
AL-02,AL,R,22.7,Solid R,safe,8743200.0
AL-03,AL,R,19.6,Solid R,safe,5692800.0
AL-04,AL,R,27.3,Solid R,safe,16103200.0
AL-05,AL,R,26.9,Solid R,safe,15328800.0
AL-06,AL,R,26.2,Solid R,safe,14035200.0
AL-07,AL,D,-8.6,Likely D,safe,2120000.0
AR-01,AR,R,22.1,Solid R,safe,8032800.0
AR-02,AR,R,23.0,Solid R,safe,9120000.0
AR-03,AR,R,25.0,Solid R,safe,12000000.0
AR-04,AR,R,28.9,Solid R,safe,19456800.0
AZ-01,AZ,R,2.0,Tilt R,defend,10070305.0
AZ-02,AZ,R,9.1,Likely R,safe,6756254.0
AZ-03,AZ,D,-8.4,Likely D,safe,2080000.0
AZ-04,AZ,D,-8.4,Likely D,safe,2080000.0
AZ-05,AZ,R,11.1,Solid R,safe,2940000.0
AZ-06,AZ,R,2.0,Tilt R,defend,7133911.0
AZ-07,AZ,D,-9.5,Likely D,safe,2300000.0
AZ-08,AZ,R,12.6,Solid R,safe,4033762.0
AZ-09,AZ,R,15.4,Solid R,safe,4012800.0
CA-01,CA,R,3.8,Lean R,defend,2252626.0
CA-02,CA,D,-24.7,Solid D,safe,11527200.0
CA-03,CA,R,3.4,Tilt R,defend,3306843.0
CA-04,CA,D,-20.7,Solid D,safe,6599200.0
CA-05,CA,R,4.2,Lean R,defend,2200000.0
CA-06,CA,D,-22.3,Solid D,safe,8263200.0
CA-07,CA,D,-20.7,Solid D,safe,6599200.0
CA-08,CA,D,-18.4,Solid D,safe,4924800.0
CA-09,CA,D,-23.4,Solid D,safe,9644800.0
CA-10,CA,D,-20.0,Solid D,safe,6000000.0
CA-11,CA,D,-34.0,Solid D,safe,25000000.0
CA-12,CA,D,-36.0,Solid D,safe,25000000.0
CA-13,CA,D,0.0,Toss-up,attack,5682224.0
CA-14,CA,D,-19.3,Solid D,safe,5479200.0
CA-15,CA,D,-24.5,Solid D,safe,11220000.0
CA-16,CA,D,-21.7,Solid D,safe,7591200.0
CA-17,CA,D,-24.3,Solid D,safe,10919200.0
CA-18,CA,D,-19.3,Solid D,safe,5479200.0
CA-19,CA,D,-20.3,Solid D,safe,6247200.0
CA-20,CA,R,9.3,Likely R,safe,8785897.0
