district_id,state,chamber,district_num,ocd_id,seat_label,party_control,rep_name,rep_party,first_elected,tenure_years,pvi,cook_rating,incumbent_running,is_open_seat,mode,chamber_total_seats,chamber_majority_threshold,state_raised_r_2026,state_spent_r_2026,state_raised_d_2026,state_spent_d_2026,state_raised_r_2024,state_spent_r_2024,state_raised_d_2024,state_spent_d_2024,state_raised_r_2022,state_spent_r_2022,state_raised_d_2022,state_spent_d_2022,hist_cost_to_compete,candidates_json,notes,data_source_flags
AK-L-001,AK,lower,1,ocd-division/country:us/state:ak/sldl:1,AK HD-1,R,OPEN SEAT,,,0.0,3.0,Lean R,False,True,defend,40,21,451522.0,406370.0,233318.0,209986.0,406370.0,383794.0,209986.0,198320.0,383794.0,361217.0,198320.0,186654.0,381553.0,"{""office"": ""AK House District 1"", ""source"": ""mock"", ""candidates"": [{""name"": ""David Johnson"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-002,AK,lower,2,ocd-division/country:us/state:ak/sldl:2,AK HD-2,R,James Smith,R,2024,2.0,4.5,Lean R,True,False,defend,40,21,394093.0,354684.0,305098.0,274588.0,354684.0,334979.0,274588.0,259333.0,334979.0,315275.0,259333.0,244079.0,374567.0,"{""office"": ""AK House District 2"", ""source"": ""mock"", ""candidates"": [{""name"": ""James Smith"", ""party"": ""R""}, {""name"": ""John Miller"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-003,AK,lower,3,ocd-division/country:us/state:ak/sldl:3,AK HD-3,R,Mary Johnson,R,2016,10.0,3.6,Lean R,True,False,defend,40,21,629911.0,566920.0,585437.0,526893.0,566920.0,535425.0,526893.0,497622.0,535425.0,503929.0,497622.0,468350.0,666705.0,"{""office"": ""AK House District 3"", ""source"": ""mock"", ""candidates"": [{""name"": ""Mary Johnson"", ""party"": ""R""}, {""name"": ""Barbara Brown"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-004,AK,lower,4,ocd-division/country:us/state:ak/sldl:4,AK HD-4,R,Robert Williams,R,2019,7.0,7.4,Likely R,True,False,defend,40,21,321457.0,289311.0,209628.0,188666.0,289311.0,273238.0,188666.0,178184.0,273238.0,257166.0,178184.0,167703.0,262508.0,"{""office"": ""AK House District 4"", ""source"": ""mock"", ""candidates"": [{""name"": ""Robert Williams"", ""party"": ""R""}, {""name"": ""John Brown"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-005,AK,lower,5,ocd-division/country:us/state:ak/sldl:5,AK HD-5,D,OPEN SEAT,,,0.0,-0.6,Toss-up,False,True,attack,40,21,340219.0,306197.0,445158.0,400643.0,306197.0,289186.0,400643.0,378385.0,289186.0,272175.0,378385.0,356127.0,464494.0,"{""office"": ""AK House District 5"", ""source"": ""mock"", ""candidates"": [{""name"": ""Robert Garcia"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-006,AK,lower,6,ocd-division/country:us/state:ak/sldl:6,AK HD-6,D,OPEN SEAT,,,0.0,-2.9,Lean D,False,True,attack,40,21,393505.0,354154.0,373234.0,335911.0,354154.0,334479.0,335911.0,317249.0,334479.0,314804.0,317249.0,298587.0,428278.0,"{""office"": ""AK House District 6"", ""source"": ""mock"", ""candidates"": [{""name"": ""Joseph Wilson"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-007,AK,lower,7,ocd-division/country:us/state:ak/sldl:7,AK HD-7,R,OPEN SEAT,,,0.0,11.8,Likely R,False,True,defend,40,21,744194.0,669774.0,523376.0,471038.0,669774.0,632565.0,471038.0,444869.0,632565.0,595355.0,444869.0,418701.0,546866.0,"{""office"": ""AK House District 7"", ""source"": ""mock"", ""candidates"": [{""name"": ""Barbara Anderson"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-008,AK,lower,8,ocd-division/country:us/state:ak/sldl:8,AK HD-8,D,Patricia Brown,D,2013,13.0,-12.2,Likely D,True,False,attack,40,21,555824.0,500242.0,555907.0,500316.0,500242.0,472451.0,500316.0,472521.0,472451.0,444659.0,472521.0,444726.0,473280.0,"{""office"": ""AK House District 8"", ""source"": ""mock"", ""candidates"": [{""name"": ""Patricia Brown"", ""party"": ""D""}, {""name"": ""William Lopez"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-009,AK,lower,9,ocd-division/country:us/state:ak/sldl:9,AK HD-9,R,OPEN SEAT,,,0.0,16.0,Likely R,False,True,safe,40,21,522191.0,469972.0,265558.0,239003.0,469972.0,443863.0,239003.0,225725.0,443863.0,417753.0,225725.0,212447.0,292593.0,"{""office"": ""AK House District 9"", ""source"": ""mock"", ""candidates"": []}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-010,AK,lower,10,ocd-division/country:us/state:ak/sldl:10,AK HD-10,R,John Jones,R,2014,12.0,16.4,Likely R,True,False,safe,40,21,477346.0,429612.0,464769.0,418292.0,429612.0,405744.0,418292.0,395054.0,405744.0,381877.0,395054.0,371815.0,344545.0,"{""office"": ""AK House District 10"", ""source"": ""mock"", ""candidates"": [{""name"": ""John Jones"", ""party"": ""R""}, {""name"": ""John Brown"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-011,AK,lower,11,ocd-division/country:us/state:ak/sldl:11,AK HD-11,R,Jennifer Garcia,R,2013,13.0,4.6,Lean R,True,False,defend,40,21,554362.0,498926.0,567916.0,511125.0,498926.0,471208.0,511125.0,482729.0,471208.0,443490.0,482729.0,454333.0,599618.0,"{""office"": ""AK House District 11"", ""source"": ""mock"", ""candidates"": [{""name"": ""Jennifer Garcia"", ""party"": ""R""}, {""name"": ""Joseph Smith"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-L-012,AK,lower,12,ocd-division/country:us/state:ak/sldl:12,AK HD-12,D,Michael Miller,D,2010,16.0,-7.6,Likely D,True,False,attack,40,21,662632.0,596369.0,858032.0,772229.0,596369.0,563237.0,772229.0,729328.0,563237.0,530105.0,729328.0,686426.0,747298.0,"{""office"": ""AK House District 12"", ""source"": ""mock"", ""candidates"": [{""name"": ""Michael Miller"", ""party"": ""D""}, {""name"": ""Susan Anderson"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
