district_id,state,chamber,district_num,ocd_id,seat_label,party_control,rep_name,rep_party,first_elected,tenure_years,pvi,cook_rating,incumbent_running,is_open_seat,mode,chamber_total_seats,chamber_majority_threshold,state_raised_r_2026,state_spent_r_2026,state_raised_d_2026,state_spent_d_2026,state_raised_r_2024,state_spent_r_2024,state_raised_d_2024,state_spent_d_2024,state_raised_r_2022,state_spent_r_2022,state_raised_d_2022,state_spent_d_2022,hist_cost_to_compete,candidates_json,notes,data_source_flags
AK-U-001,AK,upper,1,ocd-division/country:us/state:ak/sldu:1,AK SD-1,R,James Smith,R,2011,15.0,0.6,Toss-up,True,False,defend,20,11,554228.0,498806.0,401707.0,361536.0,498806.0,471094.0,361536.0,341451.0,471094.0,443383.0,341451.0,321365.0,565367.0,"{""office"": ""AK Senate District 1"", ""source"": ""mock"", ""candidates"": [{""name"": ""James Smith"", ""party"": ""R""}, {""name"": ""Linda Williams"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-002,AK,upper,2,ocd-division/country:us/state:ak/sldu:2,AK SD-2,R,Mary Johnson,R,2021,5.0,8.3,Likely R,True,False,defend,20,11,730902.0,657811.0,466744.0,420070.0,657811.0,621266.0,420070.0,396733.0,621266.0,584721.0,396733.0,373395.0,576581.0,"{""office"": ""AK Senate District 2"", ""source"": ""mock"", ""candidates"": [{""name"": ""Mary Johnson"", ""party"": ""R""}, {""name"": ""James Martinez"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-003,AK,upper,3,ocd-division/country:us/state:ak/sldu:3,AK SD-3,R,Robert Williams,R,2017,9.0,4.2,Lean R,True,False,defend,20,11,740052.0,666047.0,604660.0,544194.0,666047.0,629045.0,544194.0,513961.0,629045.0,592042.0,513961.0,483728.0,726144.0,"{""office"": ""AK Senate District 3"", ""source"": ""mock"", ""candidates"": [{""name"": ""Robert Williams"", ""party"": ""R""}, {""name"": ""David Jones"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-004,AK,upper,4,ocd-division/country:us/state:ak/sldu:4,AK SD-4,R,Patricia Brown,R,2018,8.0,13.6,Likely R,True,False,defend,20,11,349295.0,314365.0,215316.0,193785.0,314365.0,296900.0,193785.0,183019.0,296900.0,279436.0,183019.0,172253.0,229071.0,"{""office"": ""AK Senate District 4"", ""source"": ""mock"", ""candidates"": [{""name"": ""Patricia Brown"", ""party"": ""R""}, {""name"": ""David Lopez"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-005,AK,upper,5,ocd-division/country:us/state:ak/sldu:5,AK SD-5,D,John Jones,D,2011,15.0,-2.8,Lean D,True,False,attack,20,11,834820.0,751338.0,1206718.0,1086046.0,751338.0,709597.0,1086046.0,1025710.0,709597.0,667856.0,1025710.0,965374.0,1143261.0,"{""office"": ""AK Senate District 5"", ""source"": ""mock"", ""candidates"": [{""name"": ""John Jones"", ""party"": ""D""}, {""name"": ""David Smith"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-006,AK,upper,6,ocd-division/country:us/state:ak/sldu:6,AK SD-6,R,Jennifer Garcia,R,2024,2.0,5.2,Lean R,True,False,defend,20,11,349805.0,314825.0,231260.0,208134.0,314825.0,297334.0,208134.0,196571.0,297334.0,279844.0,196571.0,185008.0,305474.0,"{""office"": ""AK Senate District 6"", ""source"": ""mock"", ""candidates"": [{""name"": ""Jennifer Garcia"", ""party"": ""R""}, {""name"": ""Robert Jones"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-007,AK,upper,7,ocd-division/country:us/state:ak/sldu:7,AK SD-7,R,Michael Miller,R,2018,8.0,9.1,Likely R,True,False,defend,20,11,620029.0,558026.0,324977.0,292480.0,558026.0,527025.0,292480.0,276231.0,527025.0,496023.0,276231.0,259982.0,444153.0,"{""office"": ""AK Senate District 7"", ""source"": ""mock"", ""candidates"": [{""name"": ""Michael Miller"", ""party"": ""R""}, {""name"": ""Jennifer Johnson"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-008,AK,upper,8,ocd-division/country:us/state:ak/sldu:8,AK SD-8,D,Linda Davis,D,2009,17.0,3.3,Lean R,True,False,attack,20,11,467546.0,420791.0,524684.0,472215.0,420791.0,397414.0,472215.0,445981.0,397414.0,374037.0,445981.0,419747.0,548561.0,"{""office"": ""AK Senate District 8"", ""source"": ""mock"", ""candidates"": [{""name"": ""Linda Davis"", ""party"": ""D""}, {""name"": ""Susan Lopez"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-009,AK,upper,9,ocd-division/country:us/state:ak/sldu:9,AK SD-9,R,David Rodriguez,R,2023,3.0,9.7,Likely R,True,False,defend,20,11,372998.0,335698.0,423339.0,381005.0,335698.0,317048.0,381005.0,359838.0,317048.0,298398.0,359838.0,338671.0,367452.0,"{""office"": ""AK Senate District 9"", ""source"": ""mock"", ""candidates"": [{""name"": ""David Rodriguez"", ""party"": ""R""}, {""name"": ""William Anderson"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-010,AK,upper,10,ocd-division/country:us/state:ak/sldu:10,AK SD-10,R,Elizabeth Martinez,R,2018,8.0,12.4,Likely R,True,False,defend,20,11,391177.0,352059.0,196231.0,176608.0,352059.0,332500.0,176608.0,166796.0,332500.0,312942.0,166796.0,156985.0,248390.0,"{""office"": ""AK Senate District 10"", ""source"": ""mock"", ""candidates"": [{""name"": ""Elizabeth Martinez"", ""party"": ""R""}, {""name"": ""James Rodriguez"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-011,AK,upper,11,ocd-division/country:us/state:ak/sldu:11,AK SD-11,R,William Hernandez,R,2008,18.0,20.2,Likely R,True,False,safe,20,11,164678.0,148210.0,172142.0,154928.0,148210.0,139976.0,154928.0,146321.0,139976.0,131742.0,146321.0,137714.0,104895.0,"{""office"": ""AK Senate District 11"", ""source"": ""mock"", ""candidates"": [{""name"": ""William Hernandez"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-012,AK,upper,12,ocd-division/country:us/state:ak/sldu:12,AK SD-12,R,OPEN SEAT,,,0.0,7.4,Likely R,False,True,defend,20,11,356145.0,320531.0,361935.0,325742.0,320531.0,302723.0,325742.0,307645.0,302723.0,284916.0,307645.0,289548.0,354937.0,"{""office"": ""AK Senate District 12"", ""source"": ""mock"", ""candidates"": [{""name"": ""John Miller"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-013,AK,upper,13,ocd-division/country:us/state:ak/sldu:13,AK SD-13,D,Barbara Lopez,D,2023,3.0,-9.4,Likely D,True,False,attack,20,11,514492.0,463043.0,545955.0,491359.0,463043.0,437318.0,491359.0,464062.0,437318.0,411594.0,464062.0,436764.0,493865.0,"{""office"": ""AK Senate District 13"", ""source"": ""mock"", ""candidates"": [{""name"": ""Barbara Lopez"", ""party"": ""D""}, {""name"": ""Michael Anderson"", ""party"": ""R""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
AK-U-014,AK,upper,14,ocd-division/country:us/state:ak/sldu:14,AK SD-14,R,Richard Wilson,R,2012,14.0,-3.4,Lean D,True,False,defend,20,11,972898.0,875609.0,816203.0,734583.0,875609.0,826964.0,734583.0,693773.0,826964.0,778319.0,693773.0,652962.0,986562.0,"{""office"": ""AK Senate District 14"", ""source"": ""mock"", ""candidates"": [{""name"": ""Richard Wilson"", ""party"": ""R""}, {""name"": ""Susan Miller"", ""party"": ""D""}]}",Synthetic state-leg row — replace via OpenStates / FTM pipeline,mock
